Province,Districts (srŏk) | Municipalities (krong) | 14 sections (khan),Position,Lat,Long,,,,,,,,
Stung Treng  ,Borei O'Svay Sen Chey,13°31′0″N 105°57′0″E,13.5166667,105.95,,,,,,,,
Svay Rieng  ,Chantrea   ,11°4′0″N 105°49′0″E,11.0666667,105.8166667,,,,,,,,
Svay Rieng  ,Kampong Rou  ,11°4′0″N 105°49′0″E,11.0666667,105.8166667,,,,,,,,
Svay Rieng  ,Rumduol   ,11°4′0″N 105°49′0″E,11.0666667,105.8166667,,,,,,,,
Svay Rieng  ,Romeas Haek  ,11°4′0″N 105°49′0″E,11.0666667,105.8166667,,,,,,,,
Svay Rieng  ,Svay Chrum  ,11°4′0″N 105°49′0″E,11.0666667,105.8166667,,,,,,,,
Svay Rieng  ,Svay Rieng Municipality ,11°4′0″N 105°49′0″E,11.0666667,105.8166667,,,,,,,,
Svay Rieng  ,Svay Teab  ,11°4′0″N 105°49′0″E,11.0666667,105.8166667,,,,,,,,
Svay Rieng  ,Bavet Municipality  ,11°4′0″N 105°49′0″E,11.0666667,105.8166667,,,,,,,,
Takéo   ,Angkor Borei  ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Bati   ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Bourei Cholsar  ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Kiri Vong  ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Kaoh Andaet  ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Prey Kabbas  ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Samraong   ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Doun Kaev Municipality ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Tram Kak  ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Takéo   ,Treang   ,10°59′0″N 104°47′0″E,10.9833333,104.7833333,,,,,,,,
Tboung Khmum  ,Dambae   ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Tboung Khmum  ,Krouch Chhmar  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Tboung Khmum  ,Memot   ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Tboung Khmum  ,Ou Reang Ov ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Tboung Khmum  ,Ponhea Kraek  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Tboung Khmum  ,Tboung Khmum  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
Tboung Khmum  ,Suong Municipality  ,11°59′0″N 105°27′0″E,11.9833333,105.45,,,,,,,,
